sitename,date,gpp,gpp_unc,mod
AU-ASM,2010-01-01,NA,0,1.3885234594345093
AU-ASM,2010-01-02,NA,0,1.5660531520843506
AU-ASM,2010-01-03,NA,0,1.6418999433517456
AU-ASM,2010-01-04,NA,0,1.4050296545028687
AU-ASM,2010-01-05,NA,0,0.5001905560493469
AU-ASM,2010-01-06,NA,0,0.14100655913352966
AU-ASM,2010-01-07,NA,0,0.40507829189300537
AU-ASM,2010-01-08,NA,0,1.2125462293624878
AU-ASM,2010-01-09,NA,0,0.8942914009094238
AU-ASM,2010-01-10,NA,0,0.9317688345909119
AU-ASM,2010-01-11,NA,0,1.5321024656295776
AU-ASM,2010-01-12,NA,0,1.728342890739441
AU-ASM,2010-01-13,NA,0,1.7690948247909546
AU-ASM,2010-01-14,NA,0,2.1130425930023193
AU-ASM,2010-01-15,NA,0,2.0680336952209473
AU-ASM,2010-01-16,NA,0,2.2804529666900635
AU-ASM,2010-01-17,NA,0,2.3599538803100586
AU-ASM,2010-01-18,NA,0,2.428459405899048
AU-ASM,2010-01-19,NA,0,2.474579095840454
AU-ASM,2010-01-20,NA,0,2.538525342941284
AU-ASM,2010-01-21,NA,0,2.5513315200805664
AU-ASM,2010-01-22,NA,0,2.56585431098938
AU-ASM,2010-01-23,NA,0,2.59385347366333
AU-ASM,2010-01-24,NA,0,2.5625014305114746
AU-ASM,2010-01-25,NA,0,2.5937561988830566
AU-ASM,2010-01-26,NA,0,2.648723602294922
AU-ASM,2010-01-27,NA,0,2.330266237258911
AU-ASM,2010-01-28,NA,0,2.6096436977386475
AU-ASM,2010-01-29,NA,0,2.3915200233459473
AU-ASM,2010-01-30,NA,0,2.393463134765625
AU-ASM,2010-01-31,NA,0,2.7505877017974854
AU-ASM,2010-02-01,NA,0,2.7241621017456055
AU-ASM,2010-02-02,NA,0,2.8690245151519775
AU-ASM,2010-02-03,NA,0,2.8550102710723877
AU-ASM,2010-02-04,NA,0,2.554044485092163
AU-ASM,2010-02-05,NA,0,2.679216146469116
AU-ASM,2010-02-06,NA,0,2.373919725418091
AU-ASM,2010-02-07,NA,0,2.6827385425567627
AU-ASM,2010-02-08,NA,0,3.0209574699401855
AU-ASM,2010-02-09,NA,0,2.904189348220825
AU-ASM,2010-02-10,NA,0,3.0005085468292236
AU-ASM,2010-02-11,NA,0,2.573833465576172
AU-ASM,2010-02-12,NA,0,2.3103206157684326
AU-ASM,2010-02-13,NA,0,2.3549575805664062
AU-ASM,2010-02-14,NA,0,3.0790131092071533
AU-ASM,2010-02-15,NA,0,3.1526970863342285
AU-ASM,2010-02-16,NA,0,3.2218425273895264
AU-ASM,2010-02-17,NA,0,3.2822442054748535
AU-ASM,2010-02-18,NA,0,3.333975315093994
AU-ASM,2010-02-19,NA,0,3.3003671169281006
AU-ASM,2010-02-20,NA,0,3.3133633136749268
AU-ASM,2010-02-21,NA,0,2.747133731842041
AU-ASM,2010-02-22,NA,0,2.842604637145996
AU-ASM,2010-02-23,NA,0,2.4396066665649414
AU-ASM,2010-02-24,NA,0,1.1105377674102783
AU-ASM,2010-02-25,NA,0,1.1071875095367432
AU-ASM,2010-02-26,NA,0,0.867163360118866
AU-ASM,2010-02-27,NA,0,0.6489643454551697
AU-ASM,2010-02-28,NA,0,0.0729057714343071
AU-ASM,2010-03-01,NA,0,1.4223326444625854
AU-ASM,2010-03-02,NA,0,3.544119358062744
